ISO 639-2/T,en,native
aar,Afar,Qafara
abk,Abkhazian,Аҧсуа
ave,Avestan,avesta
afr,Afrikaans,Afrikaans
aka,Akan,akana
amh,Amharic,አማርኛ
arg,Aragonese,aragonés
ara,Arabic,العربية
asm,Assamese,অসমীয়া
ava,Avaric,авар мацӀ; магӀарул мацӀ
aym,Aymara,aymar aru
aze,Azerbaijani,Azərbaycanca
bak,Bashkir,башҡорт теле
bel,Belarusian,Беларуская мова
bul,Bulgarian,български език
bih,Bihari languages,भोजपुरी
bis,Bislama,Bislama
bam,Bambara,bamanankan
ben,Bengali,বাংলা
bod,Tibetan,བོད་ཡིག
bre,Breton,brezhoneg
bos,Bosnian,bosanski jezik
cat,Catalan; Valencian,català; valencià
che,Chechen,нохчийн мотт
cha,Chamorro,Chamoru
cos,Corsican,corsu; lingua corsa
cre,Cree,ᓀᐦᐃᔭᐍᐏᐣ
ces,Czech,čeština
chu,Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic,ѩзыкъ словѣньскъ
chv,Chuvash,чӑваш чӗлхи
cym,Welsh,Cymraeg
dan,Danish,dansk
deu,German,Deutsch
div,Divehi; Dhivehi; Maldivian,ދިވެހިބަސ
dzo,Dzongkha,རྫོང་ཁ
ewe,Ewe,Ɛʋɛgbɛ
ell,"Greek, Modern (1453-)",Ελληνικά
eng,English,English
epo,Esperanto,Esperanto
spa,Spanish; Castilian,español; castellano
est,Estonian,eesti keel
eus,Basque,euskara
fas,Persian,فارسی
ful,Fulah,Fulfulde; Pulaar; Pular
fin,Finnish,suomi; suomen kieli
fij,Fijian,vosa Vakaviti
fao,Faroese,føroyskt
fra,French,français; langue française
fry,Western Frisian,frysk
gle,Irish,Gaeilge
gla,Gaelic; Scottish Gaelic,Gàidhlig
glg,Galician,Galego
grn,Guarani,Avañe'ẽ
guj,Gujarati,ગુજરાતી
glv,Manx,Gaelg; Manninagh
hau,Hausa,Hausancī; هَوُسَ
heb,Hebrew,עִבְרִית; עברית
hin,Hindi,हिन्दी
hmo,Hiri Motu,Hiri Motu
hrv,Croatian,hrvatski jezik
hat,Haitian; Haitian Creole,Kreyòl ayisyen
hun,Hungarian,magyar
hye,Armenian,Հայերեն լեզու
her,Herero,Otjiherero
ina,Interlingua (International Auxiliary Language Association),interlingua
ind,Indonesian,Bahasa Indonesia
ile,Interlingue; Occidental,Interlingue
ibo,Igbo,Igbo
iii,Sichuan Yi; Nuosu,ꆇꉙ
ipk,Inupiaq,Iñupiaq; Iñupiatun
ido,Ido,Ido
isl,Icelandic,íslenska
ita,Italian,italiano
iku,Inuktitut,ᐃᓄᒃᑎᑐᑦ
jpn,Japanese,日本語
jav,Javanese,basa Jawa (ꦧꦱꦗꦮ)
kat,Georgian,ქართული ენა (kartuli ena)
kon,Kongo,Kikongo
kik,Kikuyu; Gikuyu,Gĩkũyũ
kua,Kuanyama; Kwanyama,kuanyama
kaz,Kazakh,Қазақ тілі
kal,Kalaallisut; Greenlandic,kalaallisut; kalaallit oqaasii
khm,Central Khmer,ភាសាខ្មែរ
kan,Kannada,ಕನ್ನಡ
kor,Korean,한국어 (韓國語); 조선말 (朝鮮語)
kau,Kanuri,kanuri
kas,Kashmiri,कॉशुर; کٲشُر
kur,Kurdish,Kurdî; كوردي
kom,Komi,коми кыв
cor,Cornish,Kernewek
kir,Kirghiz; Kyrgyz,кыргыз тили
lat,Latin,latine; lingua Latina
ltz,Luxembourgish; Letzeburgesch,Lëtzebuergesch
lug,Ganda,Luganda
lim,Limburgan; Limburger; Limburgish,Limburgs
lin,Lingala,lingala
lao,Lao,ພາສາລາວ
lit,Lithuanian,lietuvių kalba
lub,Luba-Katanga,
lav,Latvian,latviešu valoda
mlg,Malagasy,Malagasy fiteny
mah,Marshallese,Kajin M̧ajeļ
mri,Maori,te reo Māori
mkd,Macedonian,македонски јазик
mal,Malayalam,മലയാളം
mon,Mongolian,монгол хэл
mar,Marathi,मराठी
msa,Malay,bahasa Melayu; بهاس ملايو
mlt,Maltese,Malti
mya,Burmese,မြန်မာစာ
nau,Nauru,Ekakairũ Naoero
nob,"Bokmål, Norwegian; Norwegian Bokmål",bokmål
nde,"Ndebele, North; North Ndebele",isiNdebele
nep,Nepali,नेपाली
ndo,Ndonga,Owambo
nld,Dutch; Flemish,Nederlands
nno,"Norwegian Nynorsk; Nynorsk, Norwegian",nynorsk
nor,Norwegian,norsk
nbl,"Ndebele, South; South Ndebele",isiNdebele
nav,Navajo; Navaho,Diné bizaad; Dinékʼehǰí
nya,Chichewa; Chewa; Nyanja,chiCheŵa; chinyanja
oci,Occitan (post 1500),Occitan
oji,Ojibwa,ᐊᓂᔑᓇᐯᒧᐏᐣ (Anishinaabemowin)
orm,Oromo,Afaan Oromoo
ori,Oriya,ଓଡ଼ିଆ
oss,Ossetian; Ossetic,ирон ӕвзаг
pan,Panjabi; Punjabi,ਪੰਜਾਬੀ; پنجابی
pli,Pali,पालि
pol,Polish,polski
pus,Pushto; Pashto,پښتو
por,Portuguese,português
que,Quechua,Runa Simi; Kichwa
roh,Romansh,rumantsch grischun
run,Rundi,Rundi
ron,Romanian; Moldavian; Moldovan,română
rus,Russian,русский язык
kin,Kinyarwanda,Ikinyarwanda
san,Sanskrit,संस्कृतम्
srd,Sardinian,sardu
snd,Sindhi,سنڌي، سندھی; सिन्धी
sme,Northern Sami,sámi; sámegiella
sag,Sango,yângâ tî sängö
sin,Sinhala; Sinhalese,සිංහල
slk,Slovak,slovenčina
slv,Slovenian,slovenščina
smo,Samoan,gagana fa'a Samoa
sna,Shona,chiShona
som,Somali,Soomaaliga; af Soomaali
sqi,Albanian,Shqip
srp,Serbian,српски језик; srpski jezik
ssw,Swati,siSwati
sot,"Sotho, Southern",Sesotho
sun,Sundanese,basa Sunda
swe,Swedish,svenska
swa,Swahili,Kiswahili
tam,Tamil,தமிழ்
tel,Telugu,తెలుగు
tgk,Tajik,тоҷикӣ; تاجیکی
tha,Thai,ภาษาไทย
tir,Tigrinya,ትግርኛ
tuk,Turkmen,Түркмен
tgl,Tagalog,Wikang Tagalog
tsn,Tswana,Setswana
ton,Tonga (Tonga Islands),faka-Tonga
tur,Turkish,Türkçe
tso,Tsonga,Xitsonga
tat,Tatar,татарча; tatarça; تاتارچا
twi,Twi,Twi
tah,Tahitian,te reo Tahiti; te reo Māʼohi
uig,Uighur; Uyghur,Uyƣurqə; Uyğurçe; ئۇيغۇرچ
ukr,Ukrainian,українська мова
urd,Urdu,اردو
uzb,Uzbek,O'zbek; Ўзбек; أۇزبېك
ven,Venda,Tshivenḓa
vie,Vietnamese,Tiếng Việt
vol,Volapük,Volapük
wln,Walloon,walon
wol,Wolof,Wolof
xho,Xhosa,isiXhosa
yid,Yiddish,ייִדיש
yor,Yoruba,Yorùbá
zha,Zhuang; Chuang,Saɯ cueŋƅ; Saw cuengh
zho,Chinese,漢語; 汉语; 中文
zul,Zulu,isiZulu
